🔧 Running on node: g001
📆 Start time: Thu Oct 23 20:25:30 CEST 2025
🧪 Job name: l2ra | Job ID: 913151
📂 Experiment dir: learning_to_re_adapt/outputs/2025-10-23/mb_mpc_hopper_sanity_3
Starting MB-MPC training
Pretrain Epoch 10/30 | Loss: 0.13806
Pretrain Epoch 20/30 | Loss: 0.07021
Pretrain Epoch 30/30 | Loss: 0.03459
Iter 1 | reward=9.64 | loss=0.02239 | iter_time=0.84s
Iter 2 | reward=3.28 | loss=0.02699 | iter_time=0.71s
Iter 3 | reward=22.25 | loss=0.02268 | iter_time=1.17s
Iter 4 | reward=5.59 | loss=0.02319 | iter_time=0.67s
Iter 5 | reward=12.54 | loss=0.02195 | iter_time=0.61s
Iter 6 | reward=24.43 | loss=0.03051 | iter_time=1.24s
Iter 7 | reward=17.23 | loss=0.02185 | iter_time=0.94s
Iter 8 | reward=53.77 | loss=0.02095 | iter_time=1.78s
Iter 9 | reward=24.23 | loss=0.02054 | iter_time=1.78s
Iter 10 | reward=17.41 | loss=0.01965 | iter_time=1.17s
Iter 11 | reward=3.84 | loss=0.01970 | iter_time=0.85s
Iter 12 | reward=5.24 | loss=0.02222 | iter_time=0.81s
Iter 13 | reward=4.73 | loss=0.01557 | iter_time=0.46s
Iter 14 | reward=5.86 | loss=0.02372 | iter_time=0.50s
Iter 15 | reward=127.04 | loss=0.01761 | iter_time=4.57s
Iter 16 | reward=7.53 | loss=0.01944 | iter_time=0.67s
Iter 17 | reward=105.67 | loss=0.01599 | iter_time=3.06s
Iter 18 | reward=9.30 | loss=0.01621 | iter_time=0.62s
Iter 19 | reward=18.25 | loss=0.02109 | iter_time=1.02s
Iter 20 | reward=3.89 | loss=0.02126 | iter_time=0.55s
Iter 21 | reward=16.11 | loss=0.02126 | iter_time=1.33s
Iter 22 | reward=12.12 | loss=0.01803 | iter_time=0.96s
Iter 23 | reward=11.16 | loss=0.01666 | iter_time=0.51s
Iter 24 | reward=141.87 | loss=0.02001 | iter_time=4.59s
Iter 25 | reward=6.00 | loss=0.01734 | iter_time=0.61s
Iter 26 | reward=18.96 | loss=0.02674 | iter_time=0.91s
Iter 27 | reward=20.54 | loss=0.01362 | iter_time=0.87s
Iter 28 | reward=5.05 | loss=0.01717 | iter_time=0.39s
Iter 29 | reward=101.66 | loss=0.01547 | iter_time=2.31s
Iter 30 | reward=27.80 | loss=0.02488 | iter_time=1.17s
Iter 31 | reward=6.35 | loss=0.02245 | iter_time=0.73s
Iter 32 | reward=24.95 | loss=0.01493 | iter_time=1.46s
Iter 33 | reward=3.36 | loss=0.01353 | iter_time=0.43s
Iter 34 | reward=7.10 | loss=0.01456 | iter_time=0.64s
Iter 35 | reward=9.90 | loss=0.01215 | iter_time=0.65s
Iter 36 | reward=4.41 | loss=0.01449 | iter_time=0.52s
Iter 37 | reward=71.70 | loss=0.01286 | iter_time=2.06s
Iter 38 | reward=196.05 | loss=0.01420 | iter_time=7.52s
Iter 39 | reward=5.21 | loss=0.01437 | iter_time=0.49s
Iter 40 | reward=110.99 | loss=0.01154 | iter_time=3.88s
Iter 41 | reward=19.34 | loss=0.01380 | iter_time=0.94s
Iter 42 | reward=12.39 | loss=0.01490 | iter_time=0.73s
Iter 43 | reward=4.76 | loss=0.01889 | iter_time=0.56s
Iter 44 | reward=5.47 | loss=0.01553 | iter_time=0.67s
Iter 45 | reward=6.24 | loss=0.01369 | iter_time=0.48s
Iter 46 | reward=9.54 | loss=0.01515 | iter_time=0.89s
Iter 47 | reward=14.76 | loss=0.01215 | iter_time=0.86s
Iter 48 | reward=14.82 | loss=0.01215 | iter_time=0.78s
Iter 49 | reward=21.01 | loss=0.01915 | iter_time=1.22s
Iter 50 | reward=6.12 | loss=0.01469 | iter_time=0.81s
Iter 51 | reward=16.40 | loss=0.01272 | iter_time=1.12s
Iter 52 | reward=26.97 | loss=0.01318 | iter_time=1.05s
Iter 53 | reward=15.67 | loss=0.01276 | iter_time=0.71s
Iter 54 | reward=3.67 | loss=0.01196 | iter_time=0.40s
Iter 55 | reward=11.10 | loss=0.01368 | iter_time=0.60s
Iter 56 | reward=9.55 | loss=0.01455 | iter_time=0.50s
Iter 57 | reward=8.21 | loss=0.01405 | iter_time=0.68s
Iter 58 | reward=7.20 | loss=0.01017 | iter_time=0.61s
Iter 59 | reward=12.68 | loss=0.01127 | iter_time=1.09s
Iter 60 | reward=4.67 | loss=0.01197 | iter_time=0.43s
Iter 61 | reward=5.37 | loss=0.00998 | iter_time=0.48s
Iter 62 | reward=9.66 | loss=0.01048 | iter_time=0.92s
Iter 63 | reward=10.23 | loss=0.01096 | iter_time=1.10s
Iter 64 | reward=27.77 | loss=0.00973 | iter_time=1.33s
Iter 65 | reward=16.60 | loss=0.00906 | iter_time=0.88s
Iter 66 | reward=10.14 | loss=0.01549 | iter_time=0.75s
Iter 67 | reward=8.39 | loss=0.01014 | iter_time=0.54s
